id,task,word_id,word,nchar,start,end,duration,gap_before,gap_after,type
A,1,111,is,2,189335,189485,150,285,661,word
A,1,112,odd,3,190146,190468,322,661,337,word
A,1,113,because,7,190805,191653,848,337,370,word
A,1,114,on,2,192023,192186,163,370,314,word
A,1,115,the,3,192500,192773,273,314,258,word
A,1,116,whole,5,193031,194013,982,258,322,word
A,1,117,it,2,194335,194538,203,322,423,word
A,1,118,wasn't,6,194961,196306,1345,423,482,word
A,1,119,the,3,196788,197021,233,482,315,word
A,1,120,sammall,7,197336,201720,4384,315,990,word
A,1,121,green,5,202710,203386,676,990,386,word
A,1,122,pieces,6,203772,205035,1263,386,372,word
A,1,123,pf,2,205407,205540,133,372,978,word
A,1,124,of,2,206518,206616,98,978,403,word
A,1,125,paper,5,207019,207516,497,403,411,word
A,1,126,that,4,207927,208232,305,411,424,word
A,1,127,were,4,208656,209137,481,424,340,word
A,2,2,faviorite,9,2209,6871,4662,1770,430,word
A,2,3,food,4,7301,7701,400,430,276,word
A,2,4,is,2,7977,8078,101,276,21564,word
A,2,5,tomifishfdish,13,29642,39481,9839,21564,375,word
A,2,8,food,4,46051,46408,357,5968,344,word
A,2,9,is,2,46752,46873,121,344,3687,word
A,2,10,fried,5,50560,51171,611,3687,898,word
A,2,11,tomato,6,52069,54583,2514,898,1280,word
A,2,12,with,4,55863,56263,400,1280,1096,word
A,2,13,eggs.,5,57359,58497,1138,1096,1595,fullstop
A,2,14,It,2,60092,61195,1103,1595,339,word
A,2,15,is,2,61534,61644,110,339,304,word
A,2,16,a,1,61948,61948,0,304,588,word
A,2,17,traditional,11,62536,64080,1544,588,1819,word
A,2,18,Chinese,7,65899,66808,909,1819,1618,word
A,2,19,dish,4,68426,68744,318,1618,2663,word
A,2,20,and,3,71407,71610,203,2663,528,word
A,2,21,it,2,72138,72270,132,528,261,word
A,2,22,is,2,72531,72761,230,261,1164,word
A,2,23,very,4,73925,74222,297,1164,5213,word
A,2,24,esasy,5,79435,80473,1038,5213,479,word
A,2,25,to,2,80952,81044,92,479,695,word
A,2,26,cook..,6,81739,90356,8617,695,461,fullstop
A,2,27,i,1,90817,90817,0,461,1375,word
A,2,28,I,1,92192,92192,0,1375,373,word
A,2,29,love,4,92565,93084,519,373,585,word
A,2,30,it,2,93669,93736,67,585,662,word
A,2,31,because,7,94398,95264,866,662,2253,word
A,2,32,and,3,97517,97725,208,2253,662,word
A,2,33,it,2,98387,98496,109,662,388,word
A,2,34,tasktstes,9,98884,101728,2844,388,799,word
A,2,35,really,6,102527,103308,781,799,387,word
B,1,1,out,3,1633,2077,444,388,192,word
B,1,2,in,2,2269,2368,99,192,1013,word
B,1,3,the,3,3381,3660,279,1013,253,word
B,1,4,uncharted,9,3913,5206,1293,253,18791,word
B,1,5,backwaters,10,23997,25341,1344,18791,195,word
B,1,6,of,2,25536,25589,53,195,208,word
B,1,7,the,3,25797,25964,167,208,140,word
B,1,8,unfashionalble,14,26104,28538,2434,140,953,word
B,1,9,end,3,29491,29725,234,953,235,word
B,1,10,of,2,29960,30015,55,235,273,word
B,1,11,the,3,30288,30508,220,273,227,word
B,1,12,western,7,30735,31568,833,227,335,word
B,1,13,spiral,6,31903,32427,524,335,216,word
B,1,14,arm,3,32643,32913,270,216,260,word
B,1,15,of,2,33173,33230,57,260,223,word
B,1,16,the,3,33453,33647,194,223,270,word
B,1,17,galaxpty,8,33917,37821,3904,270,463,word
B,1,18,lies,4,38284,38833,549,463,230,word
B,1,19,a,1,39063,39063,0,230,238,word
B,1,20,small,5,39301,39731,430,238,856,word
B,1,21,unregarded,10,40587,42271,1684,856,842,word
B,1,22,yellow,6,43113,43853,740,842,258,word
B,1,23,sun.Orbiting,12,44111,48142,4031,258,219,word
B,1,24,this,4,48361,48601,240,219,223,word
B,1,25,at,2,48824,49068,244,223,246,word
B,1,26,a,1,49314,49314,0,246,245,word
B,1,27,distance,8,49559,50533,974,245,326,word
B,1,28,of,2,50859,50966,107,326,350,word
B,1,29,roughly,7,51316,52349,1033,350,1349,word
B,1,33,ninetyttwo,10,59927,64476,4549,4208,592,word
B,1,34,million,7,65068,65980,912,592,231,word
B,1,35,miles,5,66211,66775,564,231,212,word
B,1,36,is,2,66987,67236,249,212,733,word
B,1,37,s,1,67969,67969,0,733,591,word
B,1,38,an,2,68560,68632,72,591,291,word
B,1,39,uttrerly,8,68923,70629,1706,291,205,word
B,1,40,insigfninificant,16,70834,73999,3165,205,493,word
B,1,41,ilittle,7,74492,75872,1380,493,203,word
B,1,42,blue,4,76075,76482,407,203,461,word
B,1,43,green,5,76943,77715,772,461,241,word
B,1,44,planet,6,77956,78837,881,241,373,word
B,1,45,whose,5,79210,79756,546,373,211,word
B,1,46,apedescended,12,79967,82231,2264,211,221,word
B,1,47,life,4,82452,82848,396,221,204,word
B,1,48,forms,5,83052,83645,593,204,211,word
B,1,49,are,3,83856,84185,329,211,212,word
B,1,50,so,2,84397,84482,85,212,355,word
B,1,51,amazoingly,10,84837,86634,1797,355,699,word
B,1,52,primitive,9,87333,88622,1289,699,223,word
B,1,53,that,4,88845,89091,246,223,382,word
B,1,54,they,4,89473,89785,312,382,521,word
B,1,55,still,5,90306,91107,801,521,281,word
B,1,58,digital,7,98483,99757,1274,6501,329,word
B,1,59,watches,7,100086,101996,1910,329,218,word
B,1,60,are,3,102214,102609,395,218,192,word
B,1,61,a,1,102801,102801,0,192,292,word
B,1,62,pretyty,7,103093,104407,1314,292,336,word
B,1,68,idea,4,110621,111002,381,1317,2854,word
B,1,69,.This,5,113856,116602,2746,2854,685,word
B,1,73,"has,",4,132261,132758,497,1174,305,comma
B,1,74,or,2,133063,133178,115,305,300,word
B,1,75,rather,6,133478,134048,570,300,281,word
B,1,76,"had,",4,134329,134788,459,281,334,comma
B,1,77,a,1,135122,135122,0,334,402,word
B,1,78,"problem,",8,135524,136600,1076,402,1128,comma
B,1,79,which,5,137728,138174,446,1128,422,word
B,1,80,was,3,138596,138856,260,422,378,word
B,1,81,this,4,139234,139560,326,378,814,word
B,1,82,:,1,140374,140374,0,814,251,word
B,1,83,most,4,140625,141022,397,251,175,word
B,1,84,o,1,141197,141197,0,175,583,word
B,1,85,f,1,141780,141780,0,583,211,word
B,1,86,the,3,141991,142157,166,211,225,word
B,1,87,people,6,142382,142940,558,225,217,word
B,1,88,on,2,143157,143265,108,217,153,word
B,1,89,it,2,143418,143514,96,153,229,word
B,1,90,were,4,143743,144230,487,229,371,word
B,1,91,unchhappy,9,144601,146696,2095,371,287,word
B,1,92,for,3,146983,147296,313,287,220,word
B,1,93,pretty,6,147516,148426,910,220,278,word
B,1,94,much,4,148704,149065,361,278,203,word
B,1,95,of,2,149268,149336,68,203,449,word
B,1,96,the,3,149785,150135,350,449,592,word
B,1,97,time.,5,150727,151280,553,592,372,fullstop
B,1,98,Many,4,151652,152180,528,372,309,word
B,1,99,soluittions,11,152489,154693,2204,309,220,word
B,1,100,were,4,154913,155419,506,220,201,word
B,1,101,suggested,9,155620,156974,1354,201,254,word
B,1,102,foor,4,157228,158464,1236,254,275,word
B,1,103,this,4,158739,159005,266,275,273,word
B,1,104,problem.,8,159278,160337,1059,273,1068,fullstop
B,1,105,",",1,161405,161405,0,1068,406,comma
B,1,106,but,3,161811,162235,424,406,291,word
B,1,107,most,4,162526,162953,427,291,248,word
B,1,108,of,2,163201,163277,76,248,210,word
B,1,109,these,5,163487,164050,563,210,206,word
B,1,110,were,4,164256,164772,516,206,238,word
B,1,111,leatargely,10,165010,167063,2053,238,303,word
B,1,112,ocncconcerned,13,167366,170107,2741,303,195,word
B,1,113,with,4,170302,170537,235,195,210,word
B,1,114,the,3,170747,170951,204,210,188,word
B,1,115,movements,9,171139,172701,1562,188,325,word
B,1,116,of,2,173026,173110,84,325,527,word
B,1,117,small,5,173637,174045,408,527,389,word
B,1,118,grreen,6,174434,176010,1576,389,1032,word
B,1,119,pieces,6,177042,178148,1106,1032,380,word
B,1,120,of,2,178528,178587,59,380,256,word
B,1,121,"paper,",6,178843,180086,1243,256,430,comma
B,1,122,which,5,180516,181377,861,430,249,word
B,1,123,is,2,181626,181734,108,249,270,word
B,1,124,odd,3,182004,182275,271,270,267,word
B,1,125,because,7,182542,183538,996,267,1094,word
B,1,126,on,2,184632,184819,187,1094,230,word
B,1,127,the,3,185049,185229,180,230,206,word
B,1,128,hwolr,5,185435,185864,429,206,203,word
B,1,129,iowhwhole,9,186067,190229,4162,203,274,word
B,1,130,it,2,190503,190626,123,274,397,word
B,1,131,wasn't,6,191023,193698,2675,397,445,word
B,1,132,the,3,194143,194342,199,445,230,word
B,1,133,small,5,194572,194946,374,230,289,word
B,1,134,green,5,195235,195832,597,289,227,word
B,1,135,pieces,6,196059,197031,972,227,351,word
B,1,136,of,2,197382,197458,76,351,250,word
B,1,137,paper,5,197708,198220,512,250,250,word
B,1,138,t'hahat,7,198470,200467,1997,250,300,word
B,1,139,were,4,200767,201289,522,300,254,word
B,2,1,favorite,8,558,1547,989,265,231,word
B,2,2,food,4,1778,2257,479,231,216,word
B,2,3,is,2,2473,2542,69,216,175,word
B,2,6,actually,8,5463,6466,1003,2463,278,word
B,2,7,a,1,6744,6744,0,278,305,word
B,2,8,combination,11,7049,8133,1084,305,283,word
B,2,9,of,2,8416,8500,84,283,167,word
B,2,10,my,2,8667,8880,213,167,280,word
B,2,11,two,3,9160,9432,272,280,186,word
B,2,12,favorites:,10,9618,11254,1636,186,210,word
B,2,13,puzzizza,8,11464,13579,2115,210,247,word
B,2,14,and,3,13826,14215,389,247,213,word
B,2,15,positivasta.,12,14428,17106,2678,213,2419,fullstop
B,2,16,The,3,19525,19720,195,2419,312,word
B,2,17,crteationi,10,20032,22044,2012,312,241,word
B,2,20,is,2,24019,24091,72,1634,153,word
B,2,21,penne,5,24244,24724,480,153,236,word
B,2,22,allla,5,24960,26287,1327,236,287,word
B,2,23,vodka,5,26574,26994,420,287,252,word
B,2,24,pizzza,6,27246,28162,916,252,3898,word
B,2,25,",",1,32060,32060,0,3898,638,comma
B,2,26,whose,5,32698,33130,432,638,230,word
B,2,27,result,6,33360,34080,720,230,235,word
B,2,28,is,2,34315,34556,241,235,318,word
B,2,29,both,4,34874,35229,355,318,986,word
B,2,30,delish,6,36215,36966,751,986,739,word
B,2,31,ia,2,37705,38795,1090,739,578,word
B,2,32,and,3,39373,39576,203,578,5151,word
B,2,33,a,1,44727,44727,0,5151,2609,word
B,2,34,with,4,47336,47629,293,2609,204,word
B,2,35,optional,8,47833,48621,788,204,280,word
B,2,36,chicken,7,48901,49577,676,280,207,word
B,2,37,on,2,49784,49880,96,207,248,word
B,2,38,"top,",4,50128,51304,1176,248,203,comma
B,2,39,although,8,51507,52360,853,203,332,word
B,2,40,it,2,52692,53903,1211,332,9663,word
B,2,41,fdoes,5,63566,65112,1546,9663,315,word
B,2,42,take,4,65427,65780,353,315,275,word
B,2,43,up,2,66055,66249,194,275,1055,word
B,2,44,p,1,67304,67304,0,1055,279,word
B,2,45,otoo,4,67583,68743,1160,279,204,word
B,2,46,m,1,68947,68947,0,204,1982,word
B,2,47,room,4,70929,71234,305,1982,238,word
B,2,48,form,4,71472,75197,3725,238,987,word
B,2,49,om,2,76184,76283,99,987,179,word
B,2,50,for,3,76462,76643,181,179,208,word
B,2,51,p,1,76851,76851,0,208,2156,word
B,2,52,the,3,79007,79212,205,2156,230,word
B,2,53,actguual,8,79442,81157,1715,230,395,word
B,2,54,apasta.,7,81552,83238,1686,395,496,fullstop
B,2,55,The,3,83734,83925,191,496,329,word
B,2,56,rtesult,7,84254,85845,1591,329,5274,word
B,2,57,pizza,5,91119,91820,701,5274,349,word
B,2,58,crust,5,92169,92730,561,349,181,word
B,2,59,is,2,92911,92990,79,181,172,word
B,2,60,on,2,93162,93248,86,172,277,word
B,2,61,the,3,93525,93702,177,277,262,word
B,2,62,thicker,7,93964,94623,659,262,255,word
B,2,63,side,4,94878,95210,332,255,255,word
B,2,64,"but,",4,95465,97137,1672,255,271,comma
B,2,65,but,3,97408,97641,233,271,256,word
B,2,66,the,3,97897,98075,178,256,4512,word
B,2,67,still,5,102587,103181,594,4512,434,word
B,2,68,crispy,6,103615,105415,1800,434,5397,word
B,2,69,t,1,110812,110812,0,5397,222,word
B,2,70,oo,2,111034,111795,761,222,1659,word
B,2,71,hold,4,113454,114163,709,1659,564,word
B,2,72,the,3,114727,114903,176,564,200,word
B,2,73,pasta,5,115103,115810,707,200,3917,word
B,2,74,pasta,5,119727,120321,594,3917,1400,word
B,2,75,to,2,121721,121809,88,1400,249,word
B,2,76,give,4,122058,122450,392,249,175,word
B,2,77,it,2,122625,122693,68,175,195,word
B,2,78,that,4,122888,123116,228,195,305,word
B,2,79,crunch.,7,123421,124315,894,305,328,fullstop
B,2,80,There,5,124643,125162,519,328,357,word
B,2,81,are,3,125519,125882,363,357,396,word
B,2,82,also,4,126278,126755,477,396,252,word
B,2,83,balls,5,127007,127463,456,252,202,word
B,2,84,of,2,127665,127717,52,202,193,word
B,2,85,mozzarella,10,127910,129358,1448,193,242,word
B,2,86,on,2,129600,129688,88,242,215,word
B,2,87,thebmelted,10,129903,133695,3792,215,313,word
B,2,88,in,2,134008,134122,114,313,258,word
B,2,89,between,7,134380,135525,1145,258,225,word
B,2,90,the,3,135750,135944,194,225,156,word
B,2,91,penne,5,136100,136710,610,156,308,word
B,2,92,to,2,137018,137110,92,308,3027,word
B,2,93,givre,5,140137,140538,401,3027,148,word
B,2,94,ite,3,140686,142003,1317,148,365,word
B,2,95,it,2,142368,142489,121,365,213,word
B,2,96,that,4,142702,143161,459,213,189,word
B,2,97,piergfect,9,143350,145238,1888,189,608,word
B,2,98,cheezese,8,145846,147246,1400,608,220,word
C,1,1,out,3,784,1040,256,292,137,word
C,1,2,in,2,1177,1369,192,137,153,word
C,1,3,the,3,1522,1739,217,153,293,word
C,1,4,uncharted,9,2032,3542,1510,293,258,word
C,1,5,backswwaters,12,3800,5691,1891,258,221,word
C,1,6,of,2,5912,5999,87,221,192,word
C,1,7,the,3,6191,6360,169,192,202,word
C,1,8,unfashionable,13,6562,8440,1878,202,212,word
C,1,9,end,3,8652,8859,207,212,192,word
C,1,10,of,2,9051,9131,80,192,214,word
C,1,11,the,3,9345,9513,168,214,186,word
C,1,12,western,7,9699,10541,842,186,200,word
C,1,13,spiral,6,10741,11250,509,200,192,word
C,1,14,arm,3,11442,11664,222,192,283,word
C,1,15,of,2,11947,12027,80,283,192,word
C,1,16,the,3,12219,12388,169,192,742,word
C,1,17,Galaxy,6,13130,14023,893,742,1354,word
C,1,18,lies,4,15377,15702,325,1354,194,word
C,1,19,a,1,15896,15896,0,194,276,word
C,1,20,small,5,16172,16653,481,276,219,word
C,1,21,unregarded,10,16872,18238,1366,219,987,word
C,1,22,yellow,6,19225,19889,664,987,213,word
C,1,23,sun.Orbitignng,14,20102,24288,4186,213,236,word
C,1,24,this,4,24524,24891,367,236,186,word
C,1,25,at,2,25077,25230,153,186,178,word
C,1,26,a,1,25408,25408,0,178,438,word
C,1,27,distance,8,25846,26704,858,438,200,word
C,1,28,o,1,26904,26904,0,200,699,word
C,1,29,f,1,27603,27603,0,699,252,word
C,1,32,nignnteynetytwo,15,29582,34714,5132,793,537,word
C,1,33,million,7,35251,36194,943,537,249,word
C,1,34,miles,5,36443,37052,609,249,293,word
C,1,35,ins,3,37345,37918,573,293,206,word
C,1,36,an,2,38124,38197,73,206,307,word
C,1,37,utterly,7,38504,39257,753,307,242,word
C,1,38,insignifican,12,39499,41511,2012,242,404,word
C,1,39,little,6,41915,42515,600,404,299,word
C,1,40,vlue,4,42814,43221,407,299,1933,word
C,1,41,blue,4,45154,45597,443,1933,388,word
C,1,44,planet,6,47564,48455,891,926,815,word
C,1,45,whose,5,49270,49801,531,815,348,word
C,1,46,apedescended,12,50149,52306,2157,348,199,word
C,1,47,life,4,52505,52816,311,199,220,word
C,1,48,formsa,6,53036,53639,603,220,302,word
C,1,49,rare,4,53941,54755,814,302,351,word
C,1,50,so,2,55106,55190,84,351,218,word
C,1,51,amazingly,9,55408,56764,1356,218,407,word
C,1,52,primitive,9,57171,58365,1194,407,222,word
C,1,53,that,4,58587,58823,236,222,625,word
C,1,54,they,4,59448,59805,357,625,325,word
C,1,55,still,5,60130,60679,549,325,175,word
C,1,56,think,5,60854,61360,506,175,576,word
C,1,57,disgital,8,61936,63640,1704,576,186,word
C,1,58,wateches,8,63826,65430,1604,186,280,word
C,1,59,are,3,65710,65947,237,280,308,word
C,1,60,a,1,66255,66255,0,308,207,word
C,1,61,pretty,6,66462,67011,549,207,363,word
C,1,64,ideads.The,10,68056,72086,4030,314,442,word
C,1,65,planet,6,72528,73244,716,442,556,word
C,1,66,"has,",4,73800,74127,327,556,561,comma
C,1,67,or,2,74688,74782,94,561,768,word
C,1,68,raherther,9,75550,77805,2255,768,376,word
C,1,73,"problem,",8,81583,82574,991,800,411,comma
C,1,74,which,5,82985,83373,388,411,1075,word
C,1,75,was,3,84448,84695,247,1075,232,word
C,1,76,this:,5,84927,85651,724,232,867,word
C,1,77,most,4,86518,86831,313,867,235,word
C,1,78,of,2,87066,87183,117,235,209,word
C,1,79,the,3,87392,87575,183,209,192,word
C,1,80,people,6,87767,88270,503,192,292,word
C,1,81,on,2,88562,88742,180,292,267,word
C,1,82,it,2,89009,89138,129,267,207,word
C,1,83,were,4,89345,89749,404,207,1233,word
C,1,84,nhunhappy,9,90982,93471,2489,1233,261,word
C,1,85,for,3,93732,93955,223,261,270,word
C,1,86,pretty,6,94225,94829,604,270,278,word
C,1,87,mich,4,95107,95525,418,278,903,word
C,1,88,of,2,96428,96560,132,903,196,word
C,1,89,the,3,96756,96961,205,196,256,word
C,1,90,time.,5,97217,98000,783,256,392,fullstop
C,1,91,Many,4,98392,98830,438,392,476,word
C,1,92,soltiutions,11,99306,101813,2507,476,223,word
C,1,93,were,4,102036,102441,405,223,216,word
C,1,94,suggested,9,102657,103646,989,216,219,word
C,1,95,for,3,103865,104072,207,219,208,word
C,1,96,this,4,104280,104560,280,208,350,word
C,1,97,"problem,",8,104910,105898,988,350,436,comma
C,1,98,but,3,106334,106564,230,436,202,word
C,1,99,thmost,6,106766,107812,1046,202,234,word
C,1,100,of,2,108046,108151,105,234,243,word
C,1,101,these,5,108394,108829,435,243,185,word
C,1,102,were,4,109014,109420,406,185,220,word
C,1,103,largely,7,109640,110300,660,220,341,word
C,1,104,concerned,9,110641,111712,1071,341,1048,word
C,1,105,with,4,112760,113017,257,1048,267,word
C,1,106,the,3,113284,113454,170,267,263,word
C,1,107,movemensts,10,113717,115360,1643,263,265,word
C,1,108,of,2,115625,115706,81,265,337,word
C,1,109,small,5,116043,116487,444,337,157,word
C,1,110,freen,5,116644,117247,603,157,259,word
C,1,111,pieces,6,117506,118164,658,259,252,word
C,1,112,of,2,118416,118503,87,252,221,word
C,1,113,"paper,",6,118724,119229,505,221,273,comma
C,1,114,which,5,119502,119863,361,273,222,word
C,1,115,is,2,120085,120200,115,222,212,word
C,1,116,off,3,120412,120745,333,212,342,word
C,1,117,bedd,4,121087,122764,1677,342,307,word
C,1,118,because,7,123071,123778,707,307,662,word
C,1,119,on,2,124440,124607,167,662,181,word
C,1,120,the,3,124788,124994,206,181,318,word
C,1,121,whole,5,125312,125802,490,318,316,word
C,1,122,tit,3,126118,127045,927,316,229,word
C,1,123,wasn't,6,127274,128075,801,229,206,word
C,1,124,the,3,128281,128473,192,206,760,word
C,1,125,small,5,129233,129668,435,760,462,word
C,1,126,green,5,130130,130629,499,462,241,word
C,1,127,pieces,6,130870,131415,545,241,247,word
C,1,128,of,2,131662,131742,80,247,314,word
C,1,129,paper,5,132056,132530,474,314,225,word
C,1,130,that,4,132755,132983,228,225,216,word
C,1,131,were,4,133199,133654,455,216,375,word
C,2,1,of,2,856,983,127,199,240,word
C,2,2,my,2,1223,1397,174,240,366,word
C,2,3,favorite,8,1763,2501,738,366,696,word
C,2,4,foods,5,3197,3640,443,696,481,word
C,2,5,to,2,4121,4210,89,481,267,word
C,2,6,eat,3,4477,4686,209,267,286,word
C,2,7,ins,3,4972,5576,604,286,1413,word
C,2,8,a,1,6989,6989,0,1413,265,word
C,2,9,bowl,4,7254,7678,424,265,266,word
C,2,10,of,2,7944,8057,113,266,429,word
C,2,11,multigrian,10,8486,9973,1487,429,1182,word
C,2,12,ain,3,11155,11426,271,1182,195,word
C,2,13,cheerios,8,11621,12630,1009,195,306,word
C,2,14,at,2,12936,13121,185,306,207,word
C,2,15,about,5,13328,13875,547,207,752,word
C,2,19,p.m.,4,17115,17765,650,1130,328,fullstop
C,2,20,at,2,18093,18362,269,328,258,word
C,2,21,night.,6,18620,19087,467,258,455,fullstop
C,2,22,There,5,19542,20073,531,455,368,word
C,2,23,is,2,20441,20599,158,368,200,word
C,2,24,something,9,20799,21520,721,200,209,word
C,2,25,so,2,21729,21812,83,209,279,word
C,2,26,frefreshing,11,22091,23922,1831,279,158,word
C,2,27,about,5,24080,24484,404,158,215,word
C,2,28,taking,6,24699,25234,535,215,207,word
C,2,29,a,1,25441,25441,0,207,219,word
C,2,30,hot,3,25660,25796,136,219,266,word
C,2,31,"shower,",7,26062,27031,969,266,961,comma
C,2,32,walking,7,27992,28718,726,961,517,word
C,2,33,into,4,29235,29623,388,517,182,word
C,2,34,the,3,29805,29987,182,182,209,word
C,2,35,"kitchen,",8,30196,31192,996,209,297,comma
C,2,36,asnd,4,31489,32219,730,297,217,word
C,2,37,downing,7,32436,33236,800,217,229,word
C,2,38,a,1,33465,33465,0,229,498,word
C,2,39,"cool,",5,33963,34967,1004,498,2199,comma
C,2,40,light,5,37166,37661,495,2199,709,word
C,2,41,bowl,4,38370,38689,319,709,264,word
C,2,42,of,2,38953,39049,96,264,1061,word
C,2,43,mutligrain,10,40110,42063,1953,1061,765,word
